user_id,recipe_id,date,rating,review
21694,5139,2001-10-22,5,"Very good, wonderful dinner during cold nights."
18660,12572,2001-11-02,5,"The combination of crescent rolls and savory chicken filling was delicious. If you ever want to jazz up a chicken salad sandwich, this filling would go well on any type of bread. The ingredients blend well together. I used low fat canned chcicken as a time saver and reduced fat cream cheese and reduced fat crescent rolls to save on calories. Would go well with a salad."
4005,8507,2001-04-22,5,"This is a delicious, healthy and beautiful salad that takes only minutes to prepare.  I look forward to the homegrown tomatoes and basil from my garden."
8000,8507,2001-06-12,5,"Sounds good.  I would mince the basil, and place it directly on the tomatoes."
12756,8507,2001-07-17,5,"This recipe is *awesome*, but here's a nifty little hint:

Instead of regular mozzarella, use buffalo mozzarella.  Add cucumbers to this dish, and spoon a homemade salsa relish (think tomatoes, not heat) on top of the cheese.

A superb little dish!"
16481,8507,2001-08-29,0,"I agree with the other comments (use fresh mozerella, etc.) It's hard to find in some areas. Trader Joe's has it. Italian deli's have it, if you are lucky enough to have one where you live. I just have one suggestion. Drizzle on some Balsamic vinegar along with the olive oil. I travelled all over Italy last summer and ate this salad everywhere. Many places added the Balsamic and it makes a good salad really good!"
17095,8507,2001-08-31,5,This is a great light salad.  Even my children love it.  I like to add a little fresh cracked black pepper to it.
12777,8507,2001-10-20,3,"actually, switching avacado slices for the mozzarella, and adding a homemade french dressing makes it absolutely fabulous, and do use basil."
19724,503,2001-11-26,4,"I am Malaysian and I have an awesome satay recipe that takes over 12 hours to make (much chopping, blending and overnight marinating required). This one took me about 30 minutes and used ingredients found in almost any American kitchen. For the sauce I used chunky peanut butter (I didn't want a smooth peanut paste), a pinch of cayenne pepper instead of chili sauce and added a tbsp of maple syrup (the Malaysian satay peanut sauce is sweet and spicy). Bottomline: Authentic-tasting? Not really. Easy? YES."
7119,8905,2001-11-02,0,A very nice change from the usual tomato based spaghetti sauce.
2625,7379,2001-05-24,0,"Weird. This reminds me of Buster Douglas.  

Why so complicated? Why bother having oysters at all?  This recipe would probably work with seitan. Or, possibly...yes."
21618,10602,2001-10-20,5,Excellent
13667,4527,2001-08-03,5,"tried this recipe on my boyfriend, who dislikes asian food of ant sort. didn't tell him
name of recipe or ingred., until after when he said he loved it. we have had it several
times since. have brought to pot luck dinner parties... every one who has tasted it,
raved."
9869,8587,2001-12-10,5,"These are delicious with a capital 'D'..I have made these to include in my Christmas goody gifts...ahem ahem, I've eaten 3 in a row!
The pastry is melt in your mouth, the filling divine, thank you so much!"
21987,12044,2001-10-24,5,"This Is definitley the best stew i have had yet i used beef insead of Venison since i didnt have any
but i also added 1 tablespoon of liquid smoke Marinade WOW!! its great you can also cook this is a crock pot for 6 hours on high"
13348,12044,2001-11-16,5,This is a great stew for venison or beef.  It's also great to freeze for later.
24217,12044,2001-11-27,5,"Great stew! I coat the meat with flour, salt and pepper before browning though.  That way you don't have to add it later to thicken the stew and you avoid that raw flour taste you ocasionally get when adding flour straight to a soup or stew."
16909,4470,2001-08-29,0,"True ""Southern Cornbread Dressing"" has sage added to your taste."
24296,3579,2001-11-23,5,VEARY  FAST  &  esay.
